,month,year,num_of_screen0,num_of_screening0,nation2,num_of_ch,major_distributor,grade,time,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,a_avg_dir,r_avg_dir,a_avg_act,r_avg_act
1680,3,2013,75,1130,2,4,0.0,3,116.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8722.0,8.58,393145.2222,8.151666667
1681,2,2015,318,4610,0,6,0.0,1,60.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71250.0,7.9275,288941.8016220561,8.3125
1682,2,2016,349,4863,0,0,0.0,1,68.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71250.0,7.9275,288941.8016220561,5.461852312476617
1683,8,2016,199,5606,0,3,0.0,3,93.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,77035.33333,8.01,413151.5988,8.028928571
1684,3,2015,242,3218,2,2,0.0,1,103.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,542333.3333,8.286666667,16731.25,6.9875
1685,9,2015,268,3940,0,2,0.0,2,96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16899.5,9.025,288941.8016220561,5.461852312476617
1686,11,2018,274,4628,0,0,,3,105.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1295500.0,7.534,1882714.286,7.8725
1687,5,2013,15,615,0,4,0.0,1,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6168.666667,7.985,905104.125,7.691666667
1688,8,2015,446,15297,0,0,0.0,3,104.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,225768.32117104737,5.498639112275811,1119142.857,7.458571429
1689,3,2018,364,14710,0,0,0.0,3,116.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,584666.6667,7.623333333,1191002.708,7.127395833
1690,11,2013,968,69856,0,3,1.0,4,124.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1852500.0,7.635714286,2213397.375,7.580916667
1691,2,2019,138,3316,0,9,0.0,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39624.83333,8.69,288941.8016220561,5.461852312476617
1692,7,2019,61,1439,2,3,0.0,2,105.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38918.925,7.4075,584379.9778,7.793333333
1693,9,2016,56,1101,2,3,0.0,3,109.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,565223.1667,8.363333333,106303.2667,7.91
1694,11,2017,634,23228,0,4,1.0,3,125.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,444979.1429,7.827142857,3289988.095,8.315014881
1695,7,2017,800,14906,1,3,1.0,1,109.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,480000.0,8.62,103800.0333,8.25425
