,name,r_avg,a_avg
459, 정영웅,NULL,NULL
460, 김우빈,7.764,3410000.0
461, 조 카잔,7.975,16708.0
462, 서지석,5.8925,9711.0
463, 아론 미르테스,NULL,NULL
464, 해나 카설카,4.73,12284.5
465, 김혜수,8.054285714285715,4271428.571428572
466, 파블로 쉬레이버,7.746666666666667,562666.6666666666
467, 류예,NULL,NULL
468, 홍종현,7.78,87376.0
469, 나가야 카즈아키,7.705,10769.5
470, 베로니카 페레스,7.686666666666667,52683.0
471, 조지 셰프소브,7.9,8078.0
472, 리암 게리건,6.505000000000001,1415000.0
473, 톰 글린 카니,8.5,1410000.0
474, 제니퍼 로렌스,7.808333333333334,768000.0
475, 윌리엄 루앤,NULL,NULL
476, 스탠리 투치,6.984999999999999,16306.6
477, 김수로,7.428750000000001,2658285.714285714
478, 시얼샤 로넌,8.465,154602.7142857143
479, 줄리아 로버츠,8.303333333333333,140833.33333333334
480, 김유정,7.31,638233.4285714285
481, 데니스 퀘이드,9.026666666666666,196333.33333333334
482, 마이클 제겐,7.610000000000001,32655.2
483, 필리스 스미스,7.8566666666666665,1845181.6666666667
484, 토다 에리카,6.293333333333334,10712.666666666666
485, 엔조 라티토,NULL,NULL
486, 가이아 와이즈,6.3225,104558.33333333333
487, 사무엘 L. 잭슨,7.666666666666667,90712.0
488, 셀마 블레어,6.182,24602.25
489, 이종혁,NULL,NULL
490, 야쿠쇼 코지,7.4475,36777.25
491, 조금맥,7.84,18000.0
492, 소피 터너,8.036666666666667,1271666.6666666667
493, 제시카 오툴,NULL,NULL
